Variable,Importancia
cat__barrio_EL PINO,0.0009134674
num__dining_and_entertainment_500,0.0009124988
cat__upz_BOYACA REAL,0.00091103016
cat__barrio_LA GRANJA,0.0009104382
cat__barrio_ALTOS DE SUBA,0.0009026165
num__parks_and_recreation_100,0.00090001605
cat__barrio_BARRANCAS ORIENTAL,0.00089654117
cat__barrio_SABANA DE TIBABUYES,0.0008960521
cat__barrio_CUNDINAMARCA,0.00089427107
cat__barrio_SAN CRISTOBAL NORTE,0.0008901951
cat__upz_TINTAL SUR,0.0008868986
cat__barrio_ALMIRANTE COLON,0.0008768805
cat__barrio_BOSQUES DE SAN JORGE,0.0008753449
cat__upz_LA ALHAMBRA,0.0008718844
num__healthcare_500,0.0008700847
num__parks_and_recreation_300,0.0008691425
cat__barrio_TIBABITA II,0.00086896337
num__infrastructure_services_300,0.0008683794
cat__barrio_GRAN YOMASA,0.0008661965
cat__barrio_VILLA DEL RIO,0.00086354587
cat__barrio_IBERIA,0.0008630082
cat__barrio_SABANA DE TIBABUYES NORTE,0.0008568138
num__cultural_amenities_300,0.00085613894
cat__barrio_LA URIBE,0.0008545269
cat__upz_MODELIA,0.000854463
cat__barrio_RAFAEL ESCAMILLA,0.0008539413
cat__upz_CAPELLANIA,0.000841153
num__infrastructure_services_100,0.00084112206
num__dining_and_entertainment_300,0.0008390797
cat__barrio_DINTALITO,0.00083351316
num__education_1000,0.0008330974
cat__barrio_LAS FLORES,0.00083222234
cat__barrio_PUENTE LARGO,0.00083077827
cat__barrio_SAN FELIPE,0.0008266066
cat__barrio_SANTA MARIA,0.0008252628
cat__barrio_CLUB DE LOS LAGARTOS,0.0008229759
cat__barrio_NORMANDIA OCCIDENTAL,0.00082096236
num__accommodation_300,0.0008203626
cat__barrio_CARACOLI,0.00081390317
cat__barrio_MARIA PAZ,0.0008131517
cat__barrio_CEDRO SALAZAR,0.0008099864
cat__barrio_EL DORADO INDUSTRIAL,0.00080940657
num__education_300,0.00080827915
cat__barrio_SAN MIGUEL,0.00080713414
cat__barrio_LA CHUCUA,0.0008036813
cat__barrio_GRANADA NORTE,0.0008015387
cat__barrio_CONCEPCION NORTE,0.0007995243
cat__barrio_MODELIA,0.00079846254
num__education_500,0.0007950838
num__retail_access_300,0.00079284486
cat__barrio_SAN JOAQUIN,0.00078820804
cat__upz_ISMAEL PERDOMO,0.00077971
cat__barrio_LOS ANDES,0.00077885285
cat__barrio_SIBERIA,0.0007643224
num__healthcare_300,0.0007641281
cat__barrio_VILLA DEL PRADO,0.0007623238
num__retail_access_100,0.00076133426
cat__upz_SAGRADO CORAZON,0.00075676583
cat__barrio_CIUDAD SALITRE OCCIDENTAL,0.0007442006
cat__barrio_BOSQUE CALDERON,0.00073608983
cat__barrio_POTOSI,0.00073588395
cat__upz_SAN JOSE DE BAVARIA,0.0007339407
cat__barrio_PROVIVIENDA ORIENTAL,0.0007275015
cat__barrio_CAMPIN,0.0007251636
cat__upz_QUINTA PAREDES,0.0007201881
num__dining_and_entertainment_100,0.0007199345
cat__barrio_EL MINUTO DE DIOS,0.00071782246
cat__barrio_CIUDAD BACHUE I ETAPA,0.00071537716
cat__barrio_EL VERVENAL,0.0007134138
cat__barrio_TIMIZA A,0.0007105186
cat__barrio_PORCIUNCULA,0.0007097723
cat__barrio_EL ENCANTO,0.0007009832
num__accommodation_100,0.0007007512
cat__barrio_ANDES NORTE,0.00069409
cat__barrio_HIPOTECHO,0.00069327286
cat__barrio_LAS DOS AVENIDAS,0.000693063
cat__barrio_LOMBARDIA,0.0006911726
cat__barrio_CALANDAIMA,0.00068997924
cat__barrio_NIZA NORTE,0.00068809517
num__education_100,0.0006855985
cat__barrio_POLO CLUB,0.0006775456
cat__upz_TIMIZA,0.0006763726
cat__upz_PATIO BONITO,0.0006652739
cat__barrio_DELICIAS,0.00066443876
cat__barrio_LA LOMITA,0.0006625429
cat__barrio_MARSELLA,0.000660868
cat__barrio_TUNJUELITO USME,0.0006551433
cat__barrio_EL REDIL,0.0006550707
cat__barrio_EL CARMEN FONTIBON,0.0006483317
num__conjunto_cerrado,0.0006436096
cat__barrio_CANODROMO,0.0006430884
num__alarma,0.0006374171
cat__barrio_COOPERATIVA DE SUB-OFICIALES,0.0006367452
num__healthcare_100,0.00063506817
cat__barrio_NUEVO TECHO,0.00063357013
cat__barrio_SANTA ISABEL,0.0006304991
cat__barrio_INDUSTRIAL CENTENARIO,0.00062952767
cat__barrio_PARDO RUBIO,0.0006276048
cat__barrio_EL DANUBIO AZUL,0.00062575773
cat__barrio_SEMINARIO,0.00062457065
cat__upz_APOGEO,0.00062007323
cat__barrio_QUINTA CAMACHO,0.00061620766
cat__barrio_OSORIO II,0.00061560574
cat__barrio_SAN BERNARDINO XIX,0.00059797347
cat__barrio_BOSQUE DE MODELIA,0.0005910377
cat__barrio_PAULO VI,0.0005904254
cat__barrio_ENTRERIOS,0.0005900425
cat__barrio_NUEVA TIBABUYES,0.0005893723
cat__barrio_SUBA URBAN0,0.00058891205
cat__barrio_EL PROGRESO,0.0005860877
cat__barrio_VALLADOLID,0.0005852531
cat__barrio_EL CORTIJO,0.00058522087
cat__barrio_SAN IGNACIO,0.0005813122
cat__barrio_SANTA ROSA,0.0005812591
cat__barrio_FLORENCIA,0.0005773889
cat__barrio_EL VERGEL OCCIDENTAL I,0.0005737146
cat__barrio_PRADO VERANIEGO SUR,0.0005725491
cat__barrio_LA MERCED,0.00057082885
cat__barrio_ARMENIA,0.0005701197
cat__barrio_TERMINAL DE TRANSPORTES,0.00055063126
cat__barrio_NIZA SUR,0.00054961373
cat__upz_MUZU,0.0005449173
cat__barrio_SAN BERNARDINO XVII,0.0005347389
cat__barrio_TUNA BAJA,0.00052395393
cat__barrio_ESCUELA DE CABALLERIA I,0.0005238014
cat__barrio_VILLA ELISA,0.00052359083
cat__upz_ARBORIZADORA,0.00052271754
cat__barrio_EL VIRREY,0.0005203476
cat__upz_FONTIBON,0.0005183282
cat__barrio_VILLAS DE ALCALA,0.0005171971
cat__barrio_CAPELLANIA,0.00051044225
cat__barrio_VILLA GLADYS,0.000500843
cat__barrio_PARAMO,0.00049475586
cat__barrio_BOSQUE DE PINOS,0.0004928937
cat__barrio_HORIZONTES NORTE,0.00048949005
cat__barrio_GRAN BRITALIA,0.00048065226
cat__barrio_CASABLANCA SUBA,0.00047809604
cat__barrio_MONTEVIDEO,0.00047126983
cat__barrio_BOLIVIA NORTE,0.00046964013
cat__barrio_PROVIVIENDA,0.0004687955
cat__barrio_EL POA,0.0004670698
