Variable,Importancia
cat__barrio_SABANA GRANDE,0.0
cat__upz_GUAYMARAL,0.0
cat__barrio_SABANA DE TIBABUYES,0.0
cat__barrio_RONDA,0.0
cat__upz_ISMAEL PERDOMO,0.0
cat__upz_JARDIN BOTANICO,0.0
cat__barrio_RINCON DE LA VALVANERA,0.0
cat__upz_JERUSALEM,0.0
cat__upz_KENNEDY CENTRAL,0.0
cat__upz_LA ACADEMIA,0.0
cat__barrio_RENANIA URAPANES,0.0
cat__upz_PUENTE ARANDA,0.0
cat__barrio_REMANSO SUR,0.0
cat__barrio_REMANSO,0.0
cat__barrio_POTOSI,0.0
cat__barrio_LOS NARANJOS,0.0
cat__upz_LA MACARENA,0.0
cat__upz_PARDO RUBIO,0.0
cat__upz_PARQUE SIMON BOLIVAR - CAN,0.0
cat__barrio_OSORIO DIEZ,0.0
cat__barrio_ORTEZAL,0.0
cat__upz_PARQUE SALITRE,0.0
cat__upz_LAS NIEVES,0.0
cat__barrio_OLARTE,0.0
cat__barrio_NUEVO TECHO,0.0
cat__barrio_MIRANDELA,0.0
cat__upz_LOS CEDROS,0.0
cat__barrio_MODELIA,0.0
cat__upz_LOS LIBERTADORES,0.0
cat__barrio_NORMANDIA OCCIDENTAL,0.0
cat__barrio_MARLY,0.0
cat__barrio_NORMANDIA,0.0
cat__barrio_NIZA SUR,0.0
cat__barrio_NIZA SUBA,0.0
cat__barrio_NIZA NORTE,0.0
cat__upz_LOURDES,0.0
cat__upz_LUCERO,0.0
cat__barrio_MUZU,0.0
cat__barrio_MUEQUETA,0.0
cat__barrio_MODELO SUR,0.0
cat__barrio_MONTE BLANCO,0.0
cat__upz_MUZU,0.0
cat__upz_PASEO DE LOS LIBERTADORES,0.0
cat__upz_LAS MARGARITAS,0.0
cat__barrio_PORTALES DEL NORTE,0.0
cat__barrio_LUCERO ALTO,0.0
cat__barrio_PORCIUNCULA,0.0
cat__barrio_LOS ROSALES,0.0
cat__barrio_POPULAR MODELO,0.0
cat__barrio_POLO CLUB,0.0
cat__barrio_PIO XII,0.0
cat__barrio_LOURDES,0.0
cat__barrio_PENSILVANIA,0.0
cat__barrio_PAULO VI,0.0
cat__barrio_PATIO BONITO III,0.0
cat__barrio_PASTRANA,0.0
cat__upz_LAS CRUCES,0.0
cat__upz_LAS FERIAS,0.0
cat__barrio_PABLO VI NORTE,0.0
cat__upz_GRAN BRITALIA,0.0
cat__barrio_PARQUE DISTRITAL SALITRE,0.0
cat__barrio_PARIS GAITAN,0.0
cat__barrio_LUSITANIA,0.0
cat__barrio_PARIS,0.0
cat__barrio_PARDO RUBIO,0.0
cat__barrio_PARCELA EL PORVENIR,0.0
cat__barrio_PARAMO I,0.0
cat__barrio_MARIA CRISTINA,0.0
cat__barrio_MARIA PAZ,0.0
cat__barrio_PALERMO,0.0
cat__barrio_SAN BERNARDINO XVI,0.0
cat__barrio_BOSQUE IZQUIERDO,0.0
cat__barrio_SAN BERNARDINO XVIII,0.0
cat__barrio_TIBABUYES OCCIDENTAL,0.0
cat__barrio_USATAMA,0.0
cat__barrio_USAQUEN,0.0
cat__upz_BOSA OCCIDENTAL,0.0
cat__upz_BRITALIA,0.0
cat__barrio_TUNA BAJA,0.0
cat__barrio_TUNA ALTA,0.0
cat__barrio_TUNA,0.0
cat__barrio_TORCA,0.0
cat__barrio_TIMIZA B,0.0
cat__upz_CALANDAIMA,0.0
cat__barrio_TIMIZA,0.0
cat__barrio_TIBANA,0.0
