precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,education_100,healthcare_100,retail_access_100,dining_and_entertainment_100,accommodation_100,parks_and_recreation_100,infrastructure_services_100,cultural_amenities_100,education_300,healthcare_300,retail_access_300,dining_and_entertainment_300,accommodation_300,parks_and_recreation_300,infrastructure_services_300,cultural_amenities_300,education_500,healthcare_500,retail_access_500,dining_and_entertainment_500,accommodation_500,parks_and_recreation_500,infrastructure_services_500,cultural_amenities_500,education_1000,healthcare_1000,retail_access_1000,dining_and_entertainment_1000,accommodation_1000,parks_and_recreation_1000,infrastructure_services_1000,cultural_amenities_1000,education_2000,healthcare_2000,retail_access_2000,dining_and_entertainment_2000,accommodation_2000,parks_and_recreation_2000,infrastructure_services_2000,cultural_amenities_2000,catastral,comercial,upz_calculada,barrio_calculado,localidad_calculada
430000000.0,88.62,2.0,2.0,421900.0,1.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.69539,-74.0358,USADO,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,22,16,0,1,4,0,1,15,49,40,1,2,14,0,4,39,136,102,8,12,49,0,31,148,421,285,22,55,114,3,3732113.5,4669706.0,SANTA BARBARA,SANTA BARBARA OCCIDENTAL,USAQUEN
883000000.0,130.0,2.0,3.0,1050000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.655,-74.05,USADO,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,8,0,0,6,27,15,0,3,16,0,6,23,86,50,1,11,43,3,31,103,330,186,2,54,118,5,2537086.4285714286,3184766.4285714286,LOS CEDROS,ACACIAS USAQUEN,USAQUEN
3600000000.0,427.0,4.0,5.0,1850000.0,4.0,CHICO,6.0,MAS DE 20 ANOS,4.6683125,-74.04981,USADO,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,6,4,0,0,1,0,6,7,24,15,0,0,2,0,20,68,277,129,1,30,38,0,613530.0,689618.0,GARCES NAVAS,EL GACO,ENGATIVA
839900000.0,110.0,2.0,2.0,1350000.0,1.0,CHAPINERO ALTO,6.0,MAS DE 20 ANOS,4.6519732,-74.0524,USADO,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,3,2,1,8,12,41,113,11,8,36,6,65,127,613,808,62,30,178,19,2932991.25,3658238.25,EL REFUGIO,BELLAVISTA NORTE,CHAPINERO
4500000000.0,306.0,3.0,4.0,3000000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.661,-74.046,USADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,11,2,7,1,0,1,4,0,25,3,30,4,0,6,8,0,49,27,105,62,1,16,59,0,1092629.25,1625413.875,SUBA,SALITRE SUBA,SUBA
198000000.0,46.54,3.0,1.0,,0.0,BOSA SOACHA,2.0,ENTRE 0 Y 5 ANOS,4.635,-74.188,USADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,1,0,0,5,10,18,16,0,4,1,0,15,28,72,44,0,21,7,0,55,178,583,359,0,139,127,0,1308960.3333333333,1650023.0,EL PRADO,MAZUREN,SUBA
450000000.0,77.0,3.0,2.0,358000.0,1.0,CENTRO Y ZONA COLONIAL,2.0,ENTRE 5 Y 10 ANOS,4.5912795,-74.07813,USADO,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,1,2,0,3,5,16,13,2,4,10,0,8,35,113,138,8,10,47,1,27,120,332,310,29,43,135,3,3017066.5,3862668.0,SANTA BARBARA,MOLINOS NORTE,USAQUEN
2800000000.0,275.0,4.0,5.0,1990000.0,3.0,CHICO,6.0,ENTRE 5 Y 10 ANOS,4.668,-74.042,USADO,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,4,5,1,0,0,1,1,3,7,10,1,0,1,1,1,11,19,58,25,4,13,23,2,26,76,221,201,15,45,94,5,3276647.0,3918751.3333333335,USAQUEN,BELLA SUIZA,USAQUEN
1180000000.0,144.0,3.0,2.0,1620000.0,1.0,CHICO,6.0,MAS DE 20 ANOS,4.667,-74.05,USADO,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,8,2,0,0,1,1,0,0,10,3,2,2,1,1,14,8,42,16,5,15,22,1,933502.3333333334,1361448.3333333333,ZONA FRANCA,EL CHARCO I,FONTIBON
480000000.0,65.0,2.0,2.0,370000.0,1.0,SALITRE MODELIA,4.0,ENTRE 10 Y 20 ANOS,4.658675,-74.11944,USADO,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,9,30,17,4,7,18,0,36,49,207,110,12,30,63,2,561938.5,649401.75,GRANJAS DE TECHO,EL TINTAL CENTRAL,FONTIBON
