precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,area_terraza,numero_piso,numero_closets
203000000.0,40.0,2.0,1.0,170000.0,0.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,3.0,ENTRE 0 Y 5 ANOS,4.75928,-74.10208,USADO,0,1,1,0,0,0,,,
2350000000.0,290.0,4.0,5.0,2547000.0,3.0,CHICO,6.0,MAS DE 20 ANOS,4.667998,-74.04368,USADO,0,1,0,0,0,0,,,
1250000000.0,102.0,2.0,3.0,1220000.0,2.0,CHICO,6.0,ENTRE 0 Y 5 ANOS,4.6608963,-74.04996,USADO,0,1,0,0,0,0,,0.0,
790000000.0,137.0,3.0,4.0,600000.0,2.0,COLINA Y ALREDEDORES,5.0,ENTRE 0 Y 5 ANOS,4.739395,-74.05462,USADO,0,1,1,1,1,1,6.0,3.0,4.0
299000000.0,61.0,3.0,3.0,290000.0,1.0,ORQUIDEAS,4.0,ENTRE 10 Y 20 ANOS,4.7446804,-74.032646,USADO,0,1,0,0,1,0,,12.0,
525000000.0,76.0,2.0,2.0,,1.0,CEDRITOS,5.0,ENTRE 10 Y 20 ANOS,4.724,-74.028,USADO,0,0,0,0,0,0,,,
740000000.0,110.0,2.0,3.0,840000.0,2.0,CHAPINERO ALTO,4.0,ENTRE 10 Y 20 ANOS,4.644658,-74.057724,USADO,0,0,0,0,0,0,4.0,6.0,
1980000000.0,433.0,3.0,4.0,1818900.0,2.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.6850000000000005,-74.03,USADO,0,0,0,0,0,1,,,
1750000000.0,301.0,3.0,4.0,1000000.0,4.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.689,-74.051,USADO,0,1,0,1,0,1,,,1.0
168500000.0,47.0,2.0,1.0,104000.0,0.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,3.0,ENTRE 5 Y 10 ANOS,4.7533092,-74.09114,USADO,0,1,1,0,0,1,,1.0,2.0
320000000.0,110.0,2.0,2.0,70000.0,0.0,CHAPINERO ALTO,4.0,MAS DE 20 ANOS,4.6401486,-74.06284,USADO,0,0,0,0,0,0,,3.0,
1700000000.0,179.0,3.0,5.0,1300000.0,3.0,CHICO,6.0,ENTRE 5 Y 10 ANOS,4.65968,-74.05176,USADO,0,0,1,0,0,0,127.0,2.0,
150000000.0,40.0,2.0,1.0,80000.0,1.0,KENNEDY,2.0,MAS DE 20 ANOS,4.6457705,-74.157005,USADO,0,0,1,0,0,1,,1.0,
145000000.0,38.53,2.0,1.0,112000.0,0.0,ORQUIDEAS,3.0,ENTRE 10 Y 20 ANOS,4.7624949999999995,-74.02518,USADO,0,0,0,0,0,0,,2.0,
219000000.0,54.0,3.0,2.0,127000.0,0.0,ENGATIVA,3.0,ENTRE 10 Y 20 ANOS,4.72366,-74.13572,USADO,0,0,0,0,0,0,,11.0,
430000000.0,52.0,1.0,2.0,294000.0,1.0,CHAPINERO ALTO,4.0,ENTRE 10 Y 20 ANOS,4.645098,-74.05452,USADO,0,1,1,1,0,1,3.0,16.0,2.0
570000000.0,116.0,3.0,2.0,600000.0,2.0,NIZA ALHAMBRA,4.0,MAS DE 20 ANOS,4.702605,-74.08034,USADO,0,0,1,0,0,0,,4.0,
990000000.0,140.0,3.0,3.0,1696000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.673,-74.05,USADO,0,0,0,0,0,0,,,1.0
1800000000.0,225.0,3.0,3.0,1200000.0,3.0,CHICO,6.0,MAS DE 20 ANOS,4.678,-74.042,USADO,0,1,0,0,0,0,,,1.0
1800000000.0,158.0,3.0,5.0,950000.0,3.0,SANTA BARBARA,6.0,ENTRE 0 Y 5 ANOS,4.6977706,-74.04605,USADO,0,1,1,1,0,0,64.0,6.0,
205500000.0,62.0,3.0,2.0,125600.0,0.0,CIUDAD BOLIVAR,3.0,ENTRE 5 Y 10 ANOS,4.5874195,-74.16308,USADO,0,1,0,0,0,0,,29.0,
1000000000.0,204.0,4.0,4.0,1150000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.67688,-74.053986,USADO,0,0,0,0,0,0,,2.0,4.0
355000000.0,48.0,2.0,1.0,240000.0,1.0,CENTRO NARINO,4.0,ENTRE 5 Y 10 ANOS,4.634835,-74.09268,USADO,0,1,0,0,0,0,,48.0,
220000000.0,22.13,1.0,1.0,158000.0,0.0,CENTRO Y ZONA COLONIAL,3.0,ENTRE 0 Y 5 ANOS,4.603298,-74.07032,USADO,0,1,0,0,0,0,,2.0,
590000000.0,57.0,1.0,2.0,320000.0,2.0,SANTA BARBARA,6.0,ENTRE 5 Y 10 ANOS,4.7016397,-74.039986,USADO,0,0,0,1,0,1,20.0,2.0,
430000000.0,84.0,3.0,3.0,120000.0,1.0,NORMANDIA,4.0,MAS DE 20 ANOS,4.6747440000000005,-74.10576,USADO,0,0,0,0,0,0,,5.0,3.0
3890000000.0,277.0,3.0,2.0,2355100.0,4.0,CHICO,6.0,ENTRE 10 Y 20 ANOS,4.682,-74.043,USADO,0,0,0,0,0,0,,,1.0
1030000000.0,160.0,4.0,3.0,805000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.6798244,-74.05094,USADO,0,1,0,0,0,0,,4.0,4.0
1450000000.0,240.0,3.0,3.0,1700000.0,3.0,CHICO,6.0,MAS DE 20 ANOS,4.66889,-74.04071,USADO,0,1,0,0,0,0,,,
960000000.0,102.9,1.0,2.0,1050000.0,2.0,SANTA BARBARA,6.0,ENTRE 10 Y 20 ANOS,4.6905165,-74.03391,USADO,0,0,1,0,0,0,9.0,3.0,
320000000.0,68.0,3.0,2.0,350000.0,1.0,COLINA Y ALREDEDORES,4.0,MAS DE 20 ANOS,4.73029,-74.0538,USADO,0,0,0,0,0,0,,,
1040000000.0,194.95,4.0,4.0,856000.0,4.0,COUNTRY,5.0,MAS DE 20 ANOS,4.711,-74.05,USADO,0,1,1,1,0,1,,,
690000000.0,86.0,2.0,3.0,552000.0,2.0,SANTA BARBARA,6.0,ENTRE 5 Y 10 ANOS,4.686769,-74.053085,USADO,0,1,0,0,0,1,,3.0,
1155000000.0,138.0,3.0,4.0,1100000.0,2.0,SANTA BARBARA,6.0,ENTRE 10 Y 20 ANOS,4.695594,-74.05467,USADO,0,1,1,0,0,0,4.0,5.0,3.0
571793000.0,59.88,2.0,2.0,,1.0,OTROS,5.0,EN CONSTRUCCION,4.7588363000000005,-74.065414,NUEVO,0,0,0,0,1,1,,,
235000000.0,48.0,3.0,2.0,206600.0,1.0,ORQUIDEAS,4.0,MAS DE 20 ANOS,4.74,-74.036,USADO,0,1,1,0,0,0,,,
800000000.0,96.0,3.0,2.0,850000.0,2.0,,6.0,MAS DE 20 ANOS,4.689137,-74.04301,USADO,0,0,0,0,0,0,8.0,,
469500000.0,85.0,3.0,2.0,665956.0,2.0,CEDRITOS,4.0,ENTRE 10 Y 20 ANOS,4.7259126,-74.03658,USADO,0,1,1,1,0,0,,5.0,3.0
1400000000.0,300.0,4.0,3.0,1448500.0,4.0,CEDRITOS,6.0,MAS DE 20 ANOS,4.723005,-74.02268,USADO,0,0,1,0,0,0,,5.0,
550000000.0,77.0,2.0,2.0,745000.0,1.0,SANTA BARBARA,6.0,ENTRE 10 Y 20 ANOS,4.697,-74.03,USADO,0,1,0,0,0,0,,,1.0
1990000000.0,213.0,3.0,3.0,1120000.0,3.0,SANTA BARBARA,6.0,REMODELADO,4.687991,-74.05608,USADO,0,1,0,0,0,0,,2.0,
480000000.0,79.0,3.0,2.0,378000.0,1.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,3.0,ENTRE 0 Y 5 ANOS,4.7469172,-74.08978,USADO,0,1,1,1,0,1,3.0,3.0,4.0
